date,avg_sales,total_sales,store_count
2013-08-30,8582.0,111567.0,13
2013-08-31,6115.0,79492.0,13
2013-09-01,6350.0,82556.0,13
2013-09-02,6743.0,87653.0,13
2013-09-03,6537.0,84981.0,13
2013-09-04,5396.0,2341941.0,434
2013-09-05,5220.0,2578674.0,494
2013-09-06,5436.0,2696237.0,496
2013-09-07,5166.0,2562584.0,496
2013-09-08,5595.0,72729.0,13
2013-09-09,9709.0,4815719.0,496
2013-09-10,7951.0,3943763.0,496
2013-09-11,7288.0,3614966.0,496
2013-09-12,7164.0,3553297.0,496
2013-09-13,7361.0,3650978.0,496
2013-09-14,5241.0,2599320.0,496
2013-09-15,5644.0,73374.0,13
2013-09-16,5426.0,2691309.0,496
2013-09-17,5121.0,2539956.0,496
2013-09-18,4785.0,2373575.0,496
2013-09-19,5144.0,2556426.0,497
2013-09-20,5305.0,2636590.0,497
2013-09-21,5108.0,2538709.0,497
2013-09-22,5201.0,67617.0,13
2013-09-23,8314.0,4131814.0,497
2013-09-24,7022.0,3489881.0,497
2013-09-25,6520.0,3240299.0,497
2013-09-26,6607.0,3283898.0,497
2013-09-27,7296.0,3626170.0,497
2013-09-28,5524.0,2750815.0,498
2013-09-29,6185.0,80401.0,13
2013-09-30,6796.0,3384612.0,498
2013-10-01,5936.0,2956002.0,498
2013-10-02,6358.0,3166422.0,498
2013-10-03,5682.0,107964.0,19
2013-10-04,7237.0,3604099.0,498
2013-10-05,5452.0,2715054.0,498
2013-10-06,5480.0,71240.0,13
2013-10-07,9756.0,4858589.0,498
2013-10-08,7928.0,3947969.0,498
2013-10-09,7138.0,3554850.0,498
2013-10-10,6881.0,3426795.0,498
2013-10-11,7173.0,3572268.0,498
2013-10-12,5486.0,2732131.0,498
2013-10-13,5793.0,75311.0,13
2013-10-14,5820.0,2898420.0,498
2013-10-15,5199.0,2588985.0,498
2013-10-16,5235.0,2607029.0,498
2013-10-17,5161.0,2569934.0,498
2013-10-18,5589.0,2783101.0,498
2013-10-19,5205.0,2591919.0,498
2013-10-20,5037.0,65477.0,13
2013-10-21,8640.0,4302935.0,498
2013-10-22,7003.0,3487514.0,498
2013-10-23,6538.0,3255814.0,498
2013-10-24,6498.0,3235943.0,498
2013-10-25,6712.0,3342510.0,498
2013-10-26,5103.0,2541203.0,498
2013-10-27,5760.0,74881.0,13
2013-10-28,5192.0,2585728.0,498
2013-10-29,5427.0,2702597.0,498
2013-10-30,6212.0,3093383.0,498
2013-10-31,7113.0,3037254.0,427
2013-11-01,7087.0,1793090.0,253
2013-11-02,6574.0,3273980.0,498
2013-11-03,7564.0,52947.0,7
2013-11-04,9302.0,4632254.0,498
2013-11-05,8246.0,4106657.0,498
2013-11-06,7257.0,3614023.0,498
2013-11-07,7046.0,3509151.0,498
2013-11-08,7456.0,3712907.0,498
2013-11-09,5831.0,2903999.0,498
2013-11-10,8176.0,57231.0,7
2013-11-11,5739.0,2857826.0,498
2013-11-12,5337.0,2657590.0,498
2013-11-13,5342.0,2660362.0,498
2013-11-14,5480.0,2729286.0,498
2013-11-15,5965.0,2970798.0,498
2013-11-16,5885.0,2930731.0,498
2013-11-17,9069.0,63484.0,7
2013-11-18,9320.0,4641609.0,498
2013-11-19,7879.0,3923519.0,498
2013-11-20,7085.0,3308709.0,467
2013-11-21,7163.0,3567127.0,498
2013-11-22,7260.0,3615274.0,498
2013-11-23,5879.0,2927864.0,498
2013-11-24,9034.0,63239.0,7
2013-11-25,6446.0,3210317.0,498
2013-11-26,5948.0,2962262.0,498
2013-11-27,5970.0,2973023.0,498
2013-11-28,6467.0,3220720.0,498
2013-11-29,7792.0,3880357.0,498
2013-11-30,7696.0,3832726.0,498
2013-12-01,9883.0,69179.0,7
2013-12-02,11468.0,5710953.0,498
2013-12-03,9679.0,4820224.0,498
2013-12-04,9059.0,4511240.0,498
2013-12-05,9123.0,4543043.0,498
2013-12-06,7466.0,3718258.0,498
2013-12-07,6447.0,3210552.0,498
2013-12-08,6811.0,54490.0,8
2013-12-09,6755.0,3363824.0,498
2013-12-10,6649.0,3311378.0,498
2013-12-11,6558.0,3266132.0,498
2013-12-12,6679.0,3326052.0,498
2013-12-13,7122.0,3546676.0,498
2013-12-14,7097.0,3534282.0,498
2013-12-15,9701.0,67905.0,7
2013-12-16,13827.0,6886048.0,498
2013-12-17,11553.0,5753372.0,498
2013-12-18,10778.0,5367301.0,498
2013-12-19,10440.0,5199024.0,498
2013-12-20,10931.0,5443811.0,498
2013-12-21,9080.0,4522025.0,498
2013-12-22,6847.0,82159.0,12
2013-12-23,12793.0,6371162.0,498
2013-12-24,4665.0,2323057.0,498
2013-12-25,6110.0,42767.0,7
2013-12-26,7558.0,60460.0,8
2013-12-27,7264.0,3617503.0,498
2013-12-28,6019.0,2997609.0,498
2013-12-29,6854.0,75391.0,11
2013-12-30,9102.0,4532918.0,498
2013-12-31,4035.0,2009234.0,498
2014-01-01,4807.0,33649.0,7
2014-01-02,6201.0,3087875.0,498
2014-01-03,6244.0,3109719.0,498
2014-01-04,5673.0,2825289.0,498
2014-01-05,7407.0,59253.0,8
2014-01-06,10534.0,3802879.0,361
2014-01-07,9226.0,4594398.0,498
2014-01-08,7653.0,3811080.0,498
2014-01-09,7126.0,3548640.0,498
2014-01-10,7603.0,3786168.0,498
2014-01-11,5576.0,2765596.0,496
2014-01-12,8134.0,56941.0,7
2014-01-13,5434.0,2695023.0,496
2014-01-14,5194.0,2576054.0,496
2014-01-15,5164.0,2561426.0,496
2014-01-16,5108.0,2533755.0,496
2014-01-17,5662.0,2802722.0,495
2014-01-18,5551.0,2747965.0,495
2014-01-19,7914.0,55399.0,7
2014-01-20,9504.0,4713833.0,496
2014-01-21,7587.0,3762950.0,496
2014-01-22,7100.0,3521379.0,496
2014-01-23,6821.0,3383188.0,496
2014-01-24,6991.0,3467367.0,496
2014-01-25,5371.0,2663828.0,496
2014-01-26,7145.0,50018.0,7
2014-01-27,5098.0,2533475.0,497
2014-01-28,5180.0,2574624.0,497
2014-01-29,5203.0,2585690.0,497
2014-01-30,5645.0,2805480.0,497
2014-01-31,7099.0,3528275.0,497
2014-02-01,6205.0,3083794.0,497
2014-02-02,9448.0,66136.0,7
2014-02-03,10447.0,5192304.0,497
2014-02-04,8594.0,4271046.0,497
2014-02-05,7503.0,3729042.0,497
2014-02-06,7350.0,3652819.0,497
2014-02-07,7179.0,3567938.0,497
2014-02-08,5733.0,2849266.0,497
2014-02-09,8803.0,61619.0,7
2014-02-10,5769.0,2861356.0,496
2014-02-11,5419.0,2687733.0,496
2014-02-12,5406.0,2681229.0,496
2014-02-13,5545.0,2750157.0,496
2014-02-14,6311.0,3136433.0,497
2014-02-15,5634.0,2800247.0,497
2014-02-16,8647.0,60532.0,7
2014-02-17,9453.0,4698258.0,497
2014-02-18,7745.0,3849352.0,497
2014-02-19,6997.0,3477583.0,497
2014-02-20,6920.0,3439417.0,497
2014-02-21,7001.0,3486562.0,498
2014-02-22,5487.0,2732498.0,498
2014-02-23,8346.0,58422.0,7
2014-02-24,5390.0,2683979.0,498
2014-02-25,5094.0,2536756.0,498
2014-02-26,5331.0,2654993.0,498
2014-02-27,5377.0,2677669.0,498
2014-02-28,7019.0,3495579.0,498
2014-03-01,6337.0,3155977.0,498
2014-03-02,9185.0,73480.0,8
2014-03-03,9467.0,4572796.0,483
2014-03-04,8208.0,4087464.0,498
2014-03-05,7802.0,3885497.0,498
2014-03-06,7491.0,3730352.0,498
2014-03-07,7516.0,3742966.0,498
2014-03-08,5401.0,2689868.0,498
2014-03-09,7008.0,56064.0,8
2014-03-10,5541.0,2753661.0,497
2014-03-11,5263.0,2615856.0,497
2014-03-12,5143.0,2555828.0,497
2014-03-13,5261.0,2604103.0,495
2014-03-14,5759.0,2850904.0,495
2014-03-15,5623.0,2783457.0,495
2014-03-16,6647.0,73118.0,11
2014-03-17,9180.0,4544211.0,495
2014-03-18,7524.0,3724362.0,495
2014-03-19,6940.0,3435307.0,495
2014-03-20,6403.0,3163281.0,494
2014-03-21,6810.0,3370710.0,495
2014-03-22,5524.0,2723189.0,493
2014-03-23,5613.0,72963.0,13
