epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss,model,val_MASE
,0.003,0,,,,,,,,tft,
0.0,,9,,766.3635864257812,,,,,,tft,
0.0,,19,,693.5264892578125,,,,,,tft,
0.0,,29,,616.9608764648438,,,,,,tft,
0.0,,39,,548.4672241210938,,,,,,tft,
0.0,,49,,552.854248046875,,,,,,tft,
0.0,,59,,534.2669067382812,,,,,,tft,
0.0,,69,,519.9528198242188,,,,,,tft,
0.0,,79,,541.4492797851562,,,,,,tft,
0.0,,89,,497.3698120117188,,,,,,tft,
0.0,,99,,499.1423645019531,,,,,,tft,
0.0,,109,,450.9560852050781,,,,,,tft,
0.0,,119,,433.3980407714844,,,,,,tft,
0.0,,129,,411.7537841796875,,,,,,tft,
0.0,,139,,407.1649169921875,,,,,,tft,
0.0,,149,,438.0783386230469,,,,,,tft,
0.0,,159,,376.3591613769531,,,,,,tft,
0.0,,169,,393.63775634765625,,,,,,tft,
0.0,,179,,388.18109130859375,,,,,,tft,
0.0,,189,,433.63037109375,,,,,,tft,
0.0,,199,,355.8251953125,,,,,,tft,
0.0,,209,,352.0433959960937,,,,,,tft,
0.0,,219,,351.033935546875,,,,,,tft,
0.0,,229,,381.8268737792969,,,,,,tft,
0.0,,239,,354.6813049316406,,,,,,tft,
0.0,,249,,327.9317932128906,,,,,,tft,
0.0,,259,,348.7831420898437,,,,,,tft,
0.0,,269,,334.478515625,,,,,,tft,
0.0,,279,,321.5649108886719,,,,,,tft,
0.0,,289,,314.7294006347656,,,,,,tft,
0.0,,299,,342.0766296386719,,,,,,tft,
0.0,,309,,352.166748046875,,,,,,tft,
0.0,,319,,331.7538757324219,,,,,,tft,
0.0,,329,,304.4149780273437,,,,,,tft,
0.0,,339,,346.845703125,,,,,,tft,
0.0,,349,,340.1005249023437,,,,,,tft,
0.0,,359,,337.2294006347656,,,,,,tft,
0.0,,369,,326.7195129394531,,,,,,tft,
0.0,,379,,302.26153564453125,,,,,,tft,
0.0,,389,,308.2935485839844,,,,,,tft,
0.0,,399,,324.83709716796875,,,,,,tft,
0.0,,409,,316.2581787109375,,,,,,tft,
0.0,,419,,297.6578369140625,,,,,,tft,
0.0,,429,,313.91064453125,,,,,,tft,
0.0,,439,,283.7500305175781,,,,,,tft,
0.0,,449,,308.22528076171875,,,,,,tft,
0.0,,459,,297.8663024902344,,,,,,tft,
0.0,,469,,300.9089050292969,,,,,,tft,
0.0,,479,,279.9644775390625,,,,,,tft,
0.0,,489,,308.25079345703125,,,,,,tft,
0.0,,499,,305.196533203125,,,,,,tft,
0.0,,509,,307.87225341796875,,,,,,tft,
0.0,,519,,307.6666259765625,,,,,,tft,
0.0,,529,,283.0209045410156,,,,,,tft,
0.0,,539,,306.6054992675781,,,,,,tft,
0.0,,549,,280.89044189453125,,,,,,tft,
0.0,,559,,277.1956481933594,,,,,,tft,
0.0,,569,,279.15045166015625,,,,,,tft,
0.0,,579,,289.25439453125,,,,,,tft,
0.0,,589,,288.8699645996094,,,,,,tft,
0.0,,599,,291.3238525390625,,,,,,tft,
0.0,,609,,308.2035522460937,,,,,,tft,
0.0,,619,,290.4715270996094,,,,,,tft,
0.0,,629,,269.5069885253906,,,,,,tft,
0.0,,639,,304.5227966308594,,,,,,tft,
0.0,,649,,284.2030334472656,,,,,,tft,
0.0,,659,,309.6852111816406,,,,,,tft,
0.0,,669,,260.5131530761719,,,,,,tft,
0.0,,679,,266.2314147949219,,,,,,tft,
0.0,,689,,281.0463562011719,,,,,,tft,
0.0,,699,,294.94140625,,,,,,tft,
0.0,,709,,259.9794616699219,,,,,,tft,
0.0,,719,,278.5601806640625,,,,,,tft,
0.0,,729,,305.7073974609375,,,,,,tft,
0.0,,739,,265.9707336425781,,,,,,tft,
0.0,,749,,270.950439453125,,,,,,tft,
0.0,,759,,250.9476318359375,,,,,,tft,
0.0,,769,,266.542724609375,,,,,,tft,
0.0,,779,,253.9757080078125,,,,,,tft,
0.0,,789,,290.3153076171875,,,,,,tft,
0.0,,799,,267.09747314453125,,,,,,tft,
0.0,,809,,292.444091796875,,,,,,tft,
0.0,,819,,259.4079895019531,,,,,,tft,
0.0,,829,,268.20819091796875,,,,,,tft,
0.0,,839,,263.1205139160156,,,,,,tft,
0.0,,849,,264.2579345703125,,,,,,tft,
0.0,,859,,259.498291015625,,,,,,tft,
0.0,,869,,265.5983581542969,,,,,,tft,
0.0,,879,,271.440673828125,,,,,,tft,
0.0,,889,,264.68292236328125,,,,,,tft,
0.0,,899,,259.9498291015625,,,,,,tft,
0.0,,909,,282.5632019042969,,,,,,tft,
0.0,,919,,271.52935791015625,,,,,,tft,
0.0,,929,,258.59552001953125,,,,,,tft,
0.0,,939,,257.1730041503906,,,,,,tft,
0.0,,949,,273.2084045410156,,,,,,tft,
0.0,,959,,275.2593078613281,,,,,,tft,
0.0,,969,,264.65240478515625,,,,,,tft,
0.0,,979,,268.36065673828125,,,,,,tft,
0.0,,989,,261.8044128417969,,,,,,tft,
0.0,,999,,264.10302734375,,,,,,tft,
0.0,,1009,,282.5463256835937,,,,,,tft,
0.0,,1019,,262.95172119140625,,,,,,tft,
0.0,,1029,,261.7438659667969,,,,,,tft,
0.0,,1039,,252.42987060546875,,,,,,tft,
0.0,,1049,,270.0936584472656,,,,,,tft,
0.0,,1059,,259.0161437988281,,,,,,tft,
0.0,,1069,,248.6908264160156,,,,,,tft,
0.0,,1079,,277.1303405761719,,,,,,tft,
0.0,,1089,,248.2076873779297,,,,,,tft,
0.0,,1099,,261.7983093261719,,,,,,tft,
0.0,,1109,,264.0990600585937,,,,,,tft,
0.0,,1119,,250.0363006591797,,,,,,tft,
0.0,,1129,,254.2744598388672,,,,,,tft,
0.0,,1139,,283.2844543457031,,,,,,tft,
0.0,,1149,,239.71568298339844,,,,,,tft,
0.0,,1159,,259.03485107421875,,,,,,tft,
0.0,,1169,,249.1799774169922,,,,,,tft,
0.0,,1179,,299.2609558105469,,,,,,tft,
0.0,,1189,,246.22381591796875,,,,,,tft,
0.0,,1199,,251.25906372070312,,,,,,tft,
0.0,,1209,,267.6327209472656,,,,,,tft,
0.0,,1219,,261.94268798828125,,,,,,tft,
0.0,,1229,,240.6036834716797,,,,,,tft,
0.0,,1239,,252.4418487548828,,,,,,tft,
0.0,,1249,,258.5046691894531,,,,,,tft,
0.0,,1259,,239.5931396484375,,,,,,tft,
0.0,,1269,,248.5609130859375,,,,,,tft,
0.0,,1279,,254.35232543945312,,,,,,tft,
0.0,,1289,,261.6119689941406,,,,,,tft,
0.0,,1299,,251.9239654541016,,,,,,tft,
0.0,,1309,,251.07388305664065,,,,,,tft,
0.0,,1319,,262.8511047363281,,,,,,tft,
0.0,,1329,,252.10012817382807,,,,,,tft,
0.0,,1339,,257.3090209960937,,,,,,tft,
0.0,,1349,,258.71630859375,,,,,,tft,
0.0,,1359,,260.5393371582031,,,,,,tft,
0.0,,1369,,234.91749572753903,,,,,,tft,
0.0,,1379,,261.1902770996094,,,,,,tft,
0.0,,1389,,258.78533935546875,,,,,,tft,
0.0,,1399,,242.41368103027344,,,,,,tft,
0.0,,1409,,249.9703826904297,,,,,,tft,
